"coor";"lat";"lon"
"X110010";"33.0937";"35.10510"
"X110021";"33.0806";"35.10790"
"X110050";"33.0861";"35.11490"
"X110100";"33.0775";"35.14340"
"X110150";"33.0716";"35.13750"
"X110180";"33.0576";"35.10540"
"X110200";"33.0563";"35.11480"
"X110220";"33.0441";"35.14720"
"X110230";"33.0437";"35.17290"
"X110250";"33.0474";"35.14800"
"X110300";"33.0423";"35.11080"
"X110301";"33.0378";"35.10860"
"X110330";"33.0340";"35.13490"
"X110340";"33.0249";"35.09630"
"X110350";"33.0260";"35.10650"
"X110351";"33.0311";"35.11040"
"X110390";"33.0176";"35.09960"
"X110400";"33.0017";"35.09160"
"X110450";"33.0055";"35.09490"
"X110500";"32.9927";"35.09910"
"X110501";"32.9928";"35.10040"
"X110502";"32.9927";"35.10280"
"X110520";"32.9832";"35.08520"
"X110521";"32.9836";"35.09230"
"X110550";"32.9778";"35.10070"
"X110551";"32.9778";"35.10070"
"X110552";"32.9755";"35.09800"
"X110570";"32.9620";"35.09590"
"X110600";"32.9721";"35.14890"
"X110650";"32.9507";"35.09540"
"X110695";"32.9317";"35.10200"
"X110700";"32.9368";"35.08740"
"X110701";"32.9377";"35.08740"
"X110702";"32.9377";"35.08740"
"X110705";"32.9368";"35.08740"
"X110706";"32.9359";"35.08740"
"X110800";"32.9259";"35.08200"
"X110850";"32.9341";"35.13980"
"X110870";"32.9278";"35.15690"
"X110900";"32.8971";"35.08950"
"X110950";"32.9052";"35.09540"
"X110951";"32.9025";"35.09380"
"X110970";"32.9012";"35.16760"
"X110971";"32.9007";"35.16760"
"X110972";"32.9007";"35.16760"
"X110973";"32.9031";"35.16430"
"X110974";"32.9026";"35.16650"
"X110975";"32.8989";"35.16760"
"X111000";"32.8899";"35.09810"
"X111001";"32.8926";"35.10130"
"X111040";"32.8466";"35.11230"
"X111050";"32.8430";"35.09070"
"X111145";"32.8466";"35.11230"
"X111150";"32.8403";"35.12810"
"X111200";"32.8258";"35.06510"
"X111250";"32.8288";"35.07370"
"X111290";"32.8222";"35.06610"
"X111300";"32.8173";"35.07130"
"X111348";"32.8324";"35.10040"
"X111349";"32.8213";"35.08220"
"X111350";"32.8213";"35.08220"
"X111400";"32.8077";"35.01600"
"X111450";"32.8109";"35.04150"
"X111501";"32.8101";"35.07100"
"X111510";"32.8028";"35.05410"
"X111530";"32.8082";"35.11330"
"X111550";"32.8042";"35.10890"
"X111551";"32.8051";"35.10570"
"X111552";"32.8051";"35.10570"
"X111580";"32.8104";"35.10330"
"X111600";"32.7970";"35.05230"
"X111650";"32.7915";"35.11340"
"X111699";"32.7976";"35.11380"
"X111700";"32.7976";"35.11500"
"X111749";"32.7934";"35.12280"
"X111750";"32.7930";"35.12220"
"X111751";"32.7934";"35.12280"
"X111800";"32.7544";"35.09390"
"X111802";"32.7425";"35.10050"
"X120020";"32.8279";"34.97000"
"X120050";"32.8148";"34.96150"
"X120060";"32.8257";"34.95670"
"X120100";"32.8221";"34.99250"
"X120150";"32.8212";"34.99140"
"X120180";"32.8283";"34.99770"
"X120200";"32.8217";"35.00030"
"X120202";"32.8223";"34.99790"
"X120250";"32.8100";"34.99590"
"X120300";"32.8035";"34.98380"
"X120301";"32.8059";"34.98610"
"X120350";"32.7994";"34.98340"
"X120370";"32.7950";"34.98640"
"X120400";"32.7842";"34.98600"
"X120420";"32.7780";"35.02250"
"X120430";"32.7845";"35.02120"
"X120450";"32.7791";"34.99590"
"X120500";"32.7659";"34.95810"
"X120501";"32.7691";"34.95930"
"X120530";"32.7736";"35.02230"
"X120550";"32.7460";"35.03250"
"X120551";"32.7459";"35.03250"
"X120570";"32.7540";"35.01630"
"X120600";"32.7648";"35.05710"
"X120601";"32.7636";"35.05660"
"X120629";"32.7611";"35.02080"
"X120630";"32.7585";"35.02300"
"X120650";"32.7568";"35.02670"
"X120700";"32.7521";"34.95670"
"X120701";"32.7518";"34.95880"
"X120750";"32.7403";"35.07830"
"X120770";"32.7372";"35.03560"
"X120790";"32.7334";"35.02320"
"X120800";"32.7301";"35.00750"
"X120850";"32.7176";"35.06740"
"X120860";"32.7013";"34.97170"
"X120870";"32.6990";"34.98900"
"X120900";"32.7057";"34.93890"
"X120920";"32.6827";"34.93420"
"X120950";"32.6895";"34.94270"
"X121000";"32.6946";"35.04080"
"X121030";"32.6941";"35.04080"
"X121050";"32.6771";"34.95300"
"X121051";"32.6743";"34.95380"
"X121055";"32.6808";"34.95940"
"X121056";"32.6808";"34.95940"
"X121100";"32.6794";"34.93070"
"X121110";"32.6710";"34.96510"
"X121120";"32.6625";"34.95510"
"X121140";"32.6476";"34.99550"
"X121141";"32.6453";"34.98950"
"X121142";"32.6464";"34.99060"
"X121150";"32.6390";"34.93320"
"X121200";"32.6441";"34.98940"
"X121230";"32.6382";"35.00780"
"X121250";"32.6236";"34.98160"
"X121251";"32.6182";"34.98280"
"X121300";"32.6146";"34.91940"
"X121350";"32.6121";"35.09690"
"X121360";"32.6071";"34.94610"
"X121370";"32.5993";"34.95140"
"X121400";"32.5962";"35.00430"
"X121450";"32.5994";"35.05510"
"X121455";"32.6001";"35.05950"
"X121500";"32.5918";"35.07960"
"X121540";"32.6028";"35.09640"
"X121541";"32.6028";"35.09640"
"X121550";"32.5941";"35.09950"
"X121590";"32.5841";"34.97930"
"X121600";"32.5921";"34.97060"
"X121601";"32.5933";"34.97040"
"X121602";"32.5933";"34.97050"
"X121610";"32.5712";"34.93790"
"X121630";"32.5756";"34.93600"
"X121635";"32.5748";"34.92800"
"X121650";"32.5695";"34.93980"
"X121651";"32.5681";"34.94100"
"X121700";"32.5707";"34.95230"
"X121702";"32.5724";"34.95460"
"X121703";"32.5733";"34.95260"
"X121704";"32.5756";"34.94890"
"X121705";"32.5709";"34.94580"
"X121710";"32.5443";"34.96710"
"X121750";"32.5551";"34.91430"
"X121751";"32.5551";"34.91430"
"X121800";"32.5618";"35.02390"
"X121801";"32.5615";"35.02390"
"X121850";"32.5580";"35.07420"
"X121851";"32.5563";"35.07260"
"X121852";"32.5564";"35.07250"
"X121870";"32.5266";"34.91650"
"X121900";"32.5228";"35.03360"
"X121950";"32.5183";"35.00380"
"X121952";"32.5201";"35.00810"
"X122000";"32.5175";"35.15360"
"X122001";"32.5192";"35.14760"
"X122002";"32.5171";"35.15610"
"X122050";"32.4956";"34.99960"
"X122097";"32.5065";"35.00410"
"X122100";"32.5047";"35.00490"
"X122120";"32.5057";"35.04000"
"X122150";"32.5039";"35.07940"
"X122501";"32.5060";"35.14970"
"X122502";"32.5044";"35.14700"
"X130010";"32.5200";"34.94320"
"X130011";"32.5172";"34.95340"
"X130020";"32.5195";"34.94690"
"X130050";"32.5018";"34.89210"
"X130070";"32.5018";"34.90700"
"X130071";"32.5063";"34.90700"
"X130098";"32.4928";"34.89110"
"X130099";"32.4928";"34.89110"
"X130100";"32.4928";"34.89110"
"X130200";"32.4876";"34.98420"
"X130220";"32.4904";"35.11770"
"X130250";"32.4749";"34.97310"
"X130350";"32.4839";"34.96990"
"X130351";"32.4767";"34.97200"
"X130400";"32.4740";"34.96780"
"X130450";"32.4750";"34.99010"
"X130500";"32.4813";"35.00280"
"X130501";"32.4813";"35.00280"
"X130502";"32.4831";"35.00550"
"X130550";"32.4736";"35.03020"
"X130560";"32.4608";"35.04400"
"X130600";"32.4625";"34.97000"
"X130650";"32.4591";"34.97500"
"X130700";"32.4722";"34.98370"
"X130750";"32.4594";"34.89870"
"X130800";"32.4568";"34.92210"
"X130850";"32.4661";"34.99810"
"X130890";"32.4659";"35.00010"
"X130900";"32.4615";"35.00820"
"X130901";"32.4655";"35.00420"
"X130950";"32.4570";"35.02740"
"X130970";"32.4732";"34.88150"
"X130980";"32.4666";"34.88800"
"X130981";"32.4726";"34.89160"
"X130990";"32.4393";"34.90810"
"X131000";"32.4548";"34.95700"
"X131001";"32.4527";"34.94930"
"X131002";"32.4540";"34.95430"
"X131003";"32.4527";"34.94930"
"X131030";"32.4524";"35.00350"
"X131050";"32.4399";"35.04760"
"X131100";"32.4369";"34.92000"
"X131150";"32.4353";"34.93120"
"X131170";"32.4353";"34.93120"
"X131200";"32.4155";"35.04760"
"X131201";"32.4155";"35.04660"
"X131202";"32.4160";"35.04810"
"X131250";"32.4071";"34.87230"
"X131280";"32.3993";"35.03280"
"X131282";"32.3991";"35.03630"
"X131290";"32.4055";"34.99240"
"X131300";"32.4027";"34.93180"
"X131350";"32.3991";"34.92330"
"X131400";"32.3958";"34.93460"
"X131450";"32.3947";"35.00940"
"X131451";"32.3947";"35.00960"
"X131470";"32.3984";"35.04130"
"X131500";"32.3918";"34.91270"
"X131501";"32.3918";"34.91270"
"X131502";"32.3903";"34.91200"
"X131550";"32.3907";"34.93030"
"X131551";"32.3936";"34.93090"
"X131598";"32.3877";"34.93760"
"X131599";"32.3877";"34.93760"
"X131600";"32.3870";"34.94150"
"X131601";"32.3865";"34.94190"
"X131640";"32.3663";"34.85880"
"X131645";"32.3793";"34.86360"
"X131650";"32.3800";"34.87550"
"X131700";"32.3776";"34.98360"
"X131750";"32.3848";"35.03490"
"X131751";"32.3848";"35.03490"
"X131752";"32.3865";"35.03440"
"X131760";"32.3687";"34.99150"
"X131780";"32.4249";"34.96180"
"X131800";"32.3645";"34.90650"
"X131801";"32.3641";"34.90720"
"X131850";"32.3621";"34.92340"
"X131900";"32.3594";"34.99490"
"X131950";"32.3631";"35.02820"
"X132050";"32.3548";"34.90220"
"X132100";"32.3567";"34.93410"
"X132150";"32.3515";"35.01590"
"X132151";"32.3515";"35.01590"
"X132200";"32.3484";"34.87030"
"X132201";"32.3486";"34.87060"
"X132249";"32.3404";"34.91390"
"X132250";"32.3404";"34.91390"
"X132251";"32.3426";"34.90850"
"X132300";"32.3419";"34.85390"
"X132301";"32.3390";"34.86450"
"X132302";"32.3235";"34.86320"
"X132350";"32.3313";"34.85340"
"X132400";"32.3287";"34.85450"
"X132430";"32.3231";"34.97660"
"X132450";"32.3257";"35.00850"
"X132470";"32.3289";"34.88020"
"X132475";"32.3290";"34.88160"
"X132500";"32.3279";"34.96020"
"X132550";"32.3262";"35.00850"
"X132551";"32.3255";"35.00720"
"X132600";"32.3143";"34.89650"
"X132601";"32.3143";"34.89640"
"X132650";"32.3197";"34.92890"
"X132660";"32.2970";"34.85890"
"X132670";"32.2954";"34.94490"
"X132700";"32.2928";"34.90080"
"X132750";"32.2849";"34.89770"
"X132850";"32.2746";"34.89400"
"X132900";"32.2817";"34.91260"
"X132905";"32.2817";"34.91760"
"X132950";"32.2856";"34.98130"
"X133000";"32.2691";"34.88550"
"X133050";"32.2711";"34.96730"
"X133100";"32.2676";"35.01180"
"X133101";"32.2715";"35.00130"
"X133103";"32.2667";"35.01390"
"X133150";"32.2593";"34.86490"
"X133169";"32.2421";"34.88560"
"X133170";"32.2421";"34.88560"
"X133200";"32.2629";"34.90090"
"X133250";"32.2656";"34.93430"
"X133252";"32.2692";"34.93110"
"X133260";"32.2600";"34.83320"
"X133299";"32.2492";"34.84210"
"X133300";"32.2492";"34.84210"
"X133301";"32.2492";"34.84210"
"X133302";"32.2472";"34.84550"
"X133350";"32.2493";"34.87500"
"X133399";"32.2520";"34.86910"
"X133400";"32.2520";"34.86960"
"X133450";"32.2530";"34.91740"
"X133500";"32.2496";"34.93170"
"X133530";"32.2405";"35.01400"
"X133540";"32.2424";"35.04900"
"X133550";"32.2386";"34.91850"
"X133551";"32.2394";"34.91320"
"X133570";"32.2328";"34.94930"
"X133600";"32.2328";"34.94930"
"X133649";"32.2277";"34.82160"
"X133650";"32.2275";"34.82430"
"X133651";"32.2275";"34.82410"
"X133700";"32.2230";"34.82410"
"X133740";"32.2176";"34.82310"
"X133741";"32.2176";"34.82310"
"X133742";"32.2192";"34.82160"
"X133750";"32.2185";"34.82520"
"X133751";"32.2176";"34.82630"
"X133752";"32.2176";"34.82630"
"X133753";"32.2185";"34.82630"
"X133754";"32.2191";"34.82720"
"X133770";"32.2177";"34.87610"
"X133775";"32.2130";"34.89170"
"X133779";"32.2170";"34.93770"
"X133780";"32.2178";"34.93560"
"X133781";"32.2178";"34.93560"
"X133782";"32.2155";"34.93440"
"X133800";"32.2078";"34.89290"
"X133850";"32.2123";"34.97970"
"X133870";"32.2043";"34.90800"
"X133871";"32.2088";"34.90440"
"X133900";"32.1986";"34.82320"
"X133950";"32.2011";"34.91850"
"X133970";"32.1989";"34.92620"
"X134000";"32.1976";"34.95040"
"X134001";"32.1961";"34.94640"
"X134040";"32.1772";"34.89640"
"X134060";"32.1878";"34.81470"
"X134100";"32.1801";"34.81850"
"X134101";"32.1818";"34.82350"
"X134110";"32.1711";"34.81620"
"X134130";"32.1779";"34.88570"
"X134150";"32.1852";"34.85500"
"X134200";"32.1781";"34.91230"
"X134250";"32.1715";"34.90840"
"X134255";"32.1704";"34.90700"
"X134265";"32.1768";"34.88530"
"X134300";"32.1662";"34.83180"
"X134350";"32.1644";"34.83600"
"X134351";"32.1644";"34.83600"
"X134400";"32.1636";"34.87630"
"X134500";"32.1655";"34.89430"
"X134550";"32.1603";"34.90310"
"X134570";"32.1593";"34.94420"
"X134575";"32.1563";"34.84880"
"X134580";"32.1534";"34.90170"
"X134600";"32.1521";"34.88510"
"X134650";"32.1548";"34.94950"
"X134651";"32.1539";"34.95370"
"X134700";"32.1509";"34.83930"
"X134730";"32.1395";"34.89600"
"X134731";"32.1430";"34.90250"
"X134750";"32.1455";"34.84350"
"X134770";"32.1346";"34.82870"
"X134771";"32.1347";"34.83110"
"X134800";"32.1368";"34.97070"
"X134801";"32.1368";"34.97060"
"X134802";"32.1369";"34.97070"
"X134803";"32.1368";"34.97070"
"X134804";"32.1398";"34.96900"
"X134830";"32.1257";"35.02540"
"X134840";"32.1300";"34.83240"
"X134850";"32.1269";"34.82610"
"X134870";"32.1229";"34.83620"
"X134880";"32.1351";"34.84730"
"X134900";"32.1143";"34.97640"
"X134940";"32.1073";"34.78420"
"X134945";"32.1073";"34.78420"
"X134950";"32.1047";"34.77910"
"X135000";"32.1063";"34.93220"
"X135010";"32.1057";"34.93170"
"X135050";"32.0976";"34.77390"
"X135100";"32.0958";"34.90010"
"X135150";"32.0941";"34.91240"
"X135160";"32.1028";"34.92470"
"X135200";"32.0873";"34.82890"
"X135250";"32.0861";"34.88190"
"X135251";"32.0874";"34.87980"
"X135252";"32.0807";"34.88620"
"X135260";"32.0874";"34.87980"
"X135270";"32.0822";"34.78020"
"X135300";"32.0821";"34.77070"
"X135350";"32.0836";"34.81940"
"X135400";"32.0805";"34.81630"
"X135450";"32.0793";"34.86600"
"X135451";"32.0793";"34.86590"
"X135452";"32.0797";"34.86540"
"X135496";"32.0824";"34.93720"
"X135497";"32.0826";"34.93910"
"X135498";"32.0826";"34.93910"
"X135499";"32.0826";"34.93910"
"X135500";"32.0826";"34.93910"
"X135550";"32.0735";"34.77100"
"X135600";"32.0732";"34.78770"
"X135650";"32.0733";"34.82160"
"X135700";"32.0780";"34.92540"
"X135750";"32.0641";"34.76970"
"X135800";"32.0659";"34.77500"
"X135850";"32.0596";"34.79200"
"X135900";"32.0669";"34.80890"
"X135949";"32.0518";"34.91370"
"X135950";"32.0571";"34.91200"
"X136000";"32.0646";"34.94020"
"X136050";"32.0593";"34.94810"
"X136051";"32.0602";"34.95100"
"X136070";"32.0650";"34.88180"
"X136072";"32.0615";"34.89230"
"X136100";"32.0653";"34.85660"
"X136200";"32.0625";"34.85500"
"X136250";"32.0526";"34.84920"
"X136300";"32.0536";"34.87350"
"X136320";"32.0580";"34.75880"
"X136329";"32.0550";"34.75120"
"X136330";"32.0549";"34.75110"
"X136350";"32.0550";"34.75650"
"X136400";"32.0528";"34.75340"
"X136450";"32.0505";"34.75280"
"X136500";"32.0427";"34.81760"
"X136501";"32.0427";"34.81750"
"X136550";"32.0492";"34.92230"
"X136580";"32.0382";"34.91200"
"X136600";"32.0252";"34.74340"
"X136650";"32.0318";"34.78460"
"X136670";"32.0283";"34.87360"
"X136700";"32.0320";"34.88840"
"X136720";"32.0239";"34.91180"
"X136725";"32.0239";"34.91180"
"X136730";"32.0172";"34.76990"
"X136735";"32.0052";"34.89410"
"X136739";"32.0073";"34.81380"
"X136740";"32.0071";"34.81380"
"X136741";"32.0073";"34.81380"
"X136750";"32.0127";"34.84450"
"X136800";"31.9915";"34.82090"
"X136848";"31.9950";"34.89700"
"X136850";"31.9955";"34.89700"
"X136851";"31.9950";"34.89810"
"X136900";"31.9959";"34.89700"
"X136949";"31.9872";"34.82930"
"X136950";"31.9876";"34.82930"
"X136970";"31.9762";"34.95530"
"X137000";"31.9807";"34.92350"
"X137015";"31.9797";"34.79460"
"X137020";"31.9759";"34.80230"
"X137021";"31.9793";"34.80490"
"X137040";"31.9576";"34.74010"
"X137041";"31.9576";"34.74010"
"X137050";"31.9614";"34.79670"
"X137100";"31.9614";"34.80300"
"X137150";"31.9637";"34.84530"
"X137200";"31.9635";"34.91410"
"X137250";"31.9581";"34.92680"
"X137251";"31.9597";"34.92920"
